Jurisdiction of Occurrence,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),COVID-19 
Alaska,81,,17,,,0,,0,,,17,,
Alaska,86,0,22,,0,,11,,,,17,,
Alaska,69,,25,,,0,,,,,10,,
Alaska,93,0,26,,,,,0,,,20,,
Alaska,77,,13,,,0,,,,,18,,13
Alaska,83,0,17,,0,0,,0,,,20,,10
Alaska,79,0,20,,,0,,0,,,14,,
Alaska,88,,23,,,,,,,0,20,,
Alaska,66,,12,,,0,,,,,17,,
Alaska,77,,21,,,,,0,,,18,,
Alaska,89,0,23,,,0,,,,,18,,
Alaska,78,0,20,,0,0,,,0,,14,,
Alaska,94,,19,,,,,,,,22,,
Alaska,79,,20,,,,,0,0,,26,,
Alaska,89,,18,,,,,,,,19,,0
Alaska,83,,15,,,,,0,,,13,,
Alaska,93,,16,,,,,,,,17,,16
Alaska,114,,22,,,0,,,,,18,,26
Alaska,100,,20,,0,,,,,,20,,23
Alaska,124,0,26,,,0,,,,,29,,23
Alaska,110,,23,,,,,0,0,,23,,22
Alaska,120,,22,,,0,10,,,0,18,,38
Alaska,115,,13,,,,,,,0,23,,31
Alaska,129,0,26,,,0,,,,0,23,,42
Alaska,133,,24,,,,,0,0,0,23,,55
Alaska,153,,28,,,0,,,,,16,,57
Alaska,131,,18,,,0,,,0,0,19,,43
Alaska,142,,17,,0,,,0,,,23,,44
Alaska,149,0,23,,,0,,,,,17,,50
Alaska,154,,21,,0,,,,,,23,,59
Alaska,128,,22,,0,,12,,,,23,,38
Alaska,102,,15,,,0,,0,0,,21,,25
Alaska,116,,21,,,,,0,,0,21,,25
Alaska,131,,25,,,,,,,0,21,,29
Alaska,122,,23,,,,,,0,,30,,17
Alaska,115,,29,,,,,,,,15,,17
Alaska,107,,20,,,,,,,0,15,,
Alaska,98,,22,,,,,0,0,,22,,10
Alaska,98,0,18,,,,,,,,18,,
Alaska,106,,21,,,,,0,0,,19,,16
Alaska,105,,21,,,,,,0,,20,,13
Alaska,107,,16,,,,,0,0,,19,14,17
Alaska,108,,21,,,0,,0,,,18,,20
Alaska,91,,16,,,,,,,,12,,15
Alaska,100,0,20,,,,,,,0,15,,25
Alaska,102,0,17,,,,,0,,,24,,22
Alaska,74,0,14,,,0,,,,,12,,15
Alaska,87,,16,,,0,,,0,,17,,16
Alaska,79,,20,,,0,,0,,,20,,
Alaska,90,,20,,,,,,,,18,,
Alaska,84,,25,,,,,0,,,13,,
Alaska,82,,23,,,0,,0,,0,20,,
Alaska,89,,20,,,,,,,,16,,
Alaska,79,,17,,,,,,0,,16,,
Alaska,82,,15,,,0,,,,,18,,
Alaska,73,,,,0,,,,0,,17,,
Alaska,79,0,25,,,,,,,,17,,
Alaska,85,,22,,,,,,,0,20,,
Alaska,79,,20,,,,,,,0,15,,
Alaska,97,,23,,,,,,,0,25,,
Alaska,89,,20,,,,,,,,24,,
Alaska,87,,20,,,,,,,,15,,
Alaska,88,,25,,,,,,,0,15,,
Alaska,96,,21,,,,,,,,17,,
Alaska,98,0,21,,,0,,,,,27,,
Alaska,69,,11,,,,,,,,19,,
Alaska,110,,25,,,,,0,,,29,,
Alaska,88,,22,,,,,0,0,,26,,
Alaska,94,0,22,,,0,,,,,21,,
Alaska,92,,19,,,,,,,0,19,,
Alaska,78,,21,,,0,,,,,14,,
Alaska,91,,16,,,,,,,,18,,
Alaska,91,,16,,,,0,,,,33,,
Alaska,90,,25,,,0,,,,0,19,,
Alaska,76,,15,,,,,0,0,0,19,,
Alaska,92,,20,,,,,,,,21,,
Alaska,92,,22,,,,,,,,21,,
Alaska,94,,23,,,0,,,0,,22,,
Alaska,92,0,22,,,,,,,,13,,
Alaska,82,,10,0,,,,,,,19,,
Alaska,85,,19,,,,,0,,,11,,
Alaska,77,0,22,,,0,,0,,0,18,,
Alaska,76,,14,,,0,,,,,13,,
Alaska,100,,26,,,0,,,,,26,,0
Alaska,81,,15,,,,10,,,0,20,,
Alaska,83,0,16,,,,,,0,,25,,
Alaska,86,0,24,,,,,0,0,0,17,,0
Alaska,121,,22,,,,,,,,23,,
Alaska,97,,17,,,,,,0,,28,,
Alaska,102,0,24,,,,,,,,27,,
Alaska,88,0,23,,,,,0,,,13,,
Alaska,79,,15,,,,,0,,0,13,,
Alaska,95,,18,,,0,,,,,21,,
Alaska,106,,22,,,,,,,,19,,
Alaska,84,0,14,,,,,,,,16,10,
Alaska,86,,23,,,0,,,,0,17,,0
Alaska,92,,19,,,0,,,,,19,,
Alaska,78,,14,,,0,,,,,14,,
Alaska,74,,16,,,,,,,,15,,
Alaska,73,0,20,,,0,,,0,,12,,
Alaska,62,,19,,,,,,0,0,12,,
Alaska,59,0,15,,0,,,,,,10,,
Alaska,37,0,11,0,,0,,,0,,,,
Alaska,27,,,,,,,,,0,,0,0
Arizona,1182,,248,47,66,30,90,17,11,17,314,55,0
Arizona,1249,,277,57,67,26,85,20,19,21,299,64,0
Arizona,1175,,265,45,65,31,75,30,20,14,275,66,0
Arizona,1156,10,241,54,58,36,77,25,20,19,282,58,0
Arizona,1131,,265,49,55,34,75,19,17,16,287,64,0
Arizona,1137,,238,52,66,30,78,17,12,24,279,63,0
Arizona,1191,,248,53,66,33,88,18,10,19,297,71,0
Arizona,1184,,261,37,60,31,83,16,17,20,289,65,0
Arizona,1197,,256,53,64,33,84,27,14,26,273,71,0
Arizona,1235,12,256,44,67,29,79,30,16,23,312,73,0
Arizona,1200,,255,46,64,32,102,27,17,22,295,72,
Arizona,1157,,262,44,63,36,79,30,13,17,259,65,
Arizona,1215,,262,52,66,37,81,20,20,19,277,61,31
Arizona,1234,,258,41,66,25,79,26,15,18,256,57,58
Arizona,1261,11,243,58,57,26,84,28,17,15,255,69,91
Arizona,1192,10,255,38,70,22,74,13,21,12,248,48,96
Arizona,1280,,266,39,76,18,64,24,15,19,283,63,106
Arizona,1268,,240,57,57,24,75,14,17,17,318,75,106
Arizona,1286,10,253,47,60,16,77,21,11,32,284,60,126
Arizona,1156,,233,40,65,17,65,23,21,18,227,53,118
Arizona,1140,10,238,54,79,15,59,22,12,11,233,67,99
Arizona,1170,,244,47,43,17,74,22,19,19,249,60,116
Arizona,1213,,253,39,64,16,62,14,12,11,270,60,132
Arizona,1295,10,247,47,66,13,73,26,12,17,280,55,173
Arizona,1389,13,263,56,71,12,82,29,13,18,262,64,207
Arizona,1461,12,261,45,71,16,68,26,24,21,289,62,258
Arizona,1611,,247,58,78,21,70,25,13,20,294,66,388
Arizona,1776,12,250,68,76,34,81,39,13,27,313,62,508
Arizona,1740,,237,47,78,29,69,27,17,22,318,58,548
Arizona,1669,,263,52,85,16,61,21,11,29,292,58,477
Arizona,1569,13,246,58,63,29,75,20,13,24,281,65,390
Arizona,1388,,240,44,51,17,65,14,20,23,268,62,305
Arizona,1360,,242,56,61,20,56,21,11,29,242,55,249
Arizona,1299,,259,49,62,14,74,19,,26,272,59,174
Arizona,1271,,266,69,64,12,60,21,14,29,269,72,129
Arizona,1128,,229,43,54,12,52,20,20,23,272,40,96
Arizona,1122,10,243,42,45,14,55,26,15,19,259,58,61
Arizona,1124,,238,43,54,14,57,,13,19,270,62,66
Arizona,1152,11,241,51,61,11,65,16,10,19,239,63,56
Arizona,1047,,213,28,48,18,61,10,15,27,268,56,35
Arizona,1098,,230,45,60,,58,22,18,12,225,56,53
Arizona,1094,19,221,40,43,12,61,21,18,19,261,67,47
Arizona,1139,,247,45,52,18,58,17,16,20,254,65,63
Arizona,1161,,233,40,48,12,66,20,11,18,261,60,82
Arizona,1247,,243,45,61,12,63,16,12,23,290,56,125
Arizona,1141,,225,39,61,14,54,13,11,11,255,48,124
Arizona,1386,12,250,47,65,18,70,15,11,23,302,66,203
Arizona,1399,,230,45,48,16,51,23,10,16,270,55,307
Arizona,1574,10,223,76,51,19,68,23,10,19,285,61,416
Arizona,1863,,247,65,78,27,84,26,14,24,309,77,574
Arizona,1967,,248,56,64,34,75,22,21,20,303,72,734
Arizona,2070,,264,50,76,26,91,26,17,32,319,78,765
Arizona,2147,12,241,67,62,26,82,30,15,25,341,59,883
Arizona,2264,10,263,78,78,22,79,34,20,21,352,54,942
Arizona,2302,14,265,58,68,25,71,30,28,23,339,79,996
Arizona,2248,12,251,54,72,30,75,24,19,24,329,84,959
Arizona,1952,,249,58,56,27,67,24,14,21,325,54,776
Arizona,1824,10,239,47,46,16,75,29,14,20,304,72,660
Arizona,1595,15,234,40,60,19,61,27,18,16,291,61,505
Arizona,1419,,246,47,42,17,70,17,19,16,262,55,338
Arizona,1375,10,253,45,53,12,61,19,17,18,279,46,237
Arizona,1355,13,248,44,50,17,81,12,24,18,301,65,184
Arizona,1273,11,238,54,44,15,66,16,14,20,304,82,129
Arizona,1241,,268,62,56,14,70,15,22,19,278,65,122
Arizona,1144,11,236,47,55,10,65,22,,14,264,63,75
Arizona,1179,13,252,47,55,,55,27,19,,286,74,56
Arizona,1122,11,247,36,53,18,68,16,17,13,256,55,64
Arizona,1162,,284,49,36,16,64,11,16,11,261,76,57
Arizona,1107,,259,52,43,20,52,27,20,16,234,56,43
Arizona,1120,10,228,54,57,13,70,17,16,,267,52,54
Arizona,1233,10,269,44,51,10,76,19,26,14,283,58,63
Arizona,1153,,237,38,55,11,52,19,10,10,291,56,57
Arizona,1113,,232,40,53,19,54,15,19,11,247,60,54
Arizona,1082,,231,36,43,23,66,19,12,11,261,49,48
Arizona,1131,10,233,47,41,10,76,26,11,17,235,57,41
Arizona,1110,,254,33,50,13,61,17,12,12,242,60,35
Arizona,1174,,234,54,50,15,65,23,16,17,281,61,44
Arizona,1180,,263,44,36,12,82,15,11,20,290,66,46
Arizona,1143,11,254,41,43,12,59,23,10,16,264,59,41
Arizona,1089,,248,37,43,12,62,22,,23,263,50,41
Arizona,1153,10,253,41,39,12,55,16,17,16,262,77,56
Arizona,1078,12,212,50,49,14,58,15,14,13,252,49,70
Arizona,1155,11,266,43,30,20,59,15,20,17,252,54,110
Arizona,1304,11,271,53,49,16,62,21,13,15,274,74,127
Arizona,1281,,269,45,39,17,67,19,14,24,252,65,162
Arizona,1329,,249,39,55,19,75,19,16,28,257,72,180
Arizona,1399,,248,41,54,12,64,20,16,26,290,66,214
Arizona,1447,16,232,60,70,18,80,23,16,26,280,61,274
Arizona,1418,,244,48,62,11,64,22,14,30,263,52,281
Arizona,1456,15,271,41,56,26,64,26,26,13,291,61,266
Arizona,1420,12,256,42,57,19,60,14,10,15,288,64,286
Arizona,1473,10,252,48,65,23,80,22,14,12,280,61,272
Arizona,1405,,270,62,47,20,72,14,,22,262,55,245
Arizona,1414,,231,51,57,17,72,22,21,12,274,61,263
Arizona,1302,,239,44,48,21,73,21,13,12,240,63,231
Arizona,1436,11,243,52,51,16,62,23,17,22,277,57,279
Arizona,1417,16,225,38,70,15,71,11,16,16,293,66,268
Arizona,1559,13,260,52,58,19,83,23,21,13,308,55,353
Arizona,1619,,230,53,52,28,76,25,28,20,321,86,380
Arizona,1657,,247,52,59,28,73,20,16,14,319,73,450
Arizona,1693,13,236,51,48,30,64,25,20,20,289,78,469
Arizona,1809,17,241,71,47,17,86,27,19,19,312,79,542
Arizona,1699,13,248,68,65,19,59,31,13,16,299,69,483
Arizona,1821,12,281,53,75,44,83,23,23,16,341,64,482
Arizona,1712,16,255,48,62,27,62,21,26,29,330,65,434
Arizona,1838,10,262,81,59,36,88,25,29,29,341,72,428
Arizona,1719,12,264,51,62,25,79,27,28,23,296,69,459
Arizona,1754,21,225,59,64,23,83,27,26,25,313,75,500
Arizona,1838,15,266,54,73,22,81,28,15,18,344,88,500
Arizona,1725,11,246,61,55,29,81,33,18,11,322,60,492
Arizona,1705,14,261,57,68,23,87,21,18,21,334,79,415
Arizona,1510,10,267,59,42,17,82,26,14,19,279,63,312
Arizona,1400,,240,53,51,18,81,21,15,18,290,66,232
Arizona,1362,13,281,39,41,15,69,28,22,17,281,75,177
Arizona,1345,15,273,60,48,16,86,25,20,10,298,67,131
Arizona,1299,10,285,57,51,10,59,18,15,16,301,70,100
Arizona,1205,15,249,45,45,15,68,23,18,17,272,62,67
Arizona,1161,16,252,39,45,11,61,21,22,16,247,74,42
Arizona,1183,11,280,41,56,21,65,21,,15,274,65,32
Arizona,1122,,223,45,53,21,68,26,14,11,254,56,25
Arizona,1151,,254,44,56,11,55,20,13,15,271,70,22
Arizona,1189,,275,40,47,19,59,20,16,20,292,68,29
Arizona,1146,,239,43,61,19,66,21,16,22,249,64,23
Arizona,1151,,245,51,54,24,62,21,19,15,262,54,25
Arizona,1182,,251,40,49,16,65,34,14,15,281,71,34
Arizona,1158,,264,47,47,20,65,18,19,16,268,45,32
Arizona,1164,,255,38,53,15,61,19,17,24,267,58,38
Arizona,1131,10,234,44,66,18,50,24,13,12,291,65,38
Arizona,1222,,272,52,47,20,67,15,13,15,280,57,65
Arizona,1055,,215,46,43,15,50,21,13,15,251,53,54
Arizona,1071,12,240,35,46,24,46,18,12,11,247,57,57
Arizona,1127,10,267,40,44,,52,17,14,19,264,53,46
Arizona,1196,,252,48,48,11,60,16,14,17,302,68,55
Arizona,1187,,240,50,51,,67,17,15,18,289,75,63
Arizona,1155,10,240,40,59,14,61,26,17,,276,59,71
Arizona,1116,,246,42,55,18,67,18,16,14,267,41,48
Arizona,1129,,250,36,47,19,53,22,,21,264,54,55
Arizona,1117,,257,46,53,17,49,11,16,19,273,66,45
Arizona,1091,,236,40,47,12,66,18,15,10,261,68,31
Arizona,1173,,258,38,53,,78,19,16,20,271,57,49
Arizona,1100,,229,39,53,14,71,19,17,17,260,64,33
Arizona,1086,13,260,33,47,20,60,25,,10,261,49,38
Arizona,1108,,242,39,54,,60,22,20,14,258,53,35
Arizona,1117,,258,39,55,16,60,15,15,,268,58,40
Arizona,1148,,265,39,57,13,53,15,12,12,257,65,25
Arizona,1093,11,266,37,45,12,63,15,,17,268,55,28
Arizona,1104,13,217,43,55,12,72,13,14,21,274,71,26
Arizona,1148,,243,44,67,16,63,16,13,10,301,61,35
Arizona,1265,,269,50,53,20,83,22,16,11,284,86,44
Arizona,1185,,268,38,63,15,63,15,14,10,285,70,42
Arizona,1284,,259,61,66,22,80,24,13,13,281,73,65
Arizona,1336,11,282,58,53,18,87,22,19,22,322,72,83
Arizona,1439,,264,47,70,33,79,29,17,15,321,75,112
Arizona,1405,12,271,50,66,30,90,23,24,12,297,75,140
Arizona,1402,18,265,55,51,34,96,15,18,15,310,74,123
Arizona,1399,14,251,37,57,36,85,29,24,27,330,60,109
Arizona,1415,13,280,53,66,38,95,23,17,30,314,75,89
Arizona,1363,16,238,54,65,32,70,28,19,29,303,76,90
Arizona,1365,13,270,54,59,29,85,20,18,36,326,74,63
Arizona,1340,17,283,44,55,26,74,26,26,44,328,72,42
Arizona,1261,,210,49,63,19,59,30,17,54,293,78,38
Arizona,1371,10,262,48,75,14,91,26,21,47,335,67,35
Arizona,1276,12,232,43,40,14,80,27,,81,326,62,28
Arizona,1288,,253,54,51,19,62,28,12,83,289,63,29
Arizona,1324,10,284,50,53,27,98,21,22,92,282,76,33
Arizona,1323,12,244,56,58,19,83,31,16,96,311,64,33
Arizona,1268,,257,45,62,20,76,24,25,100,288,47,33
Arizona,1212,10,222,43,53,17,62,22,14,106,273,71,40
Arizona,1205,17,226,43,49,16,58,25,14,116,273,75,26
Arizona,1037,,207,40,36,22,58,17,18,101,228,40,24
Arkansas,630,17,114,25,38,18,62,,,,174,34,0
Arkansas,629,10,144,26,37,21,63,,13,,165,33,0
Arkansas,610,11,123,24,33,20,44,,15,,167,23,0
Arkansas,576,,131,19,28,17,55,14,,,161,23,0
Arkansas,615,11,124,19,43,20,54,11,20,,151,24,0
Arkansas,637,,136,16,47,21,60,,15,,170,27,0
Arkansas,639,,121,26,33,20,56,12,11,,179,28,0
Arkansas,650,14,134,27,53,20,49,10,15,,166,33,0
Arkansas,618,15,139,33,29,,45,12,22,0,167,32,0
Arkansas,631,11,134,19,45,24,64,10,14,,148,25,0
Arkansas,572,13,116,24,28,13,46,,13,,149,41,0
Arkansas,593,,120,18,29,23,50,13,14,,148,30,0
Arkansas,591,,123,20,32,19,43,,21,,158,22,
Arkansas,561,,116,26,28,16,51,,12,0,146,20,11
Arkansas,588,,113,21,28,19,54,,20,,147,29,14
Arkansas,573,,117,11,38,10,38,,16,,163,29,12
Arkansas,562,,116,16,35,15,42,,16,,129,34,14
Arkansas,567,,110,24,29,10,48,12,18,,132,35,22
Arkansas,616,,122,31,33,10,55,,17,,165,40,24
Arkansas,533,,117,21,29,15,38,,15,,141,27,
Arkansas,586,,115,23,42,,51,11,10,,148,30,20
Arkansas,555,,120,31,32,,37,,12,,154,24,19
Arkansas,578,13,128,24,29,,40,,11,,164,23,26
Arkansas,587,,116,23,29,11,40,,14,,166,35,34
Arkansas,636,,108,31,34,,50,,23,,160,44,45
Arkansas,598,,111,21,26,15,45,,11,,157,30,47
Arkansas,622,12,134,26,26,,44,17,18,,155,19,41
Arkansas,589,13,115,39,19,,45,,10,,143,34,47
Arkansas,635,,120,24,29,12,41,,14,,177,29,57
Arkansas,659,,125,19,30,10,33,12,,,171,38,74
Arkansas,696,14,124,25,42,12,46,16,11,,180,31,88
Arkansas,682,13,122,15,40,15,46,,11,,169,32,91
Arkansas,706,11,117,28,35,15,41,10,12,,186,37,92
Arkansas,687,14,119,35,29,11,36,,,,183,35,99
Arkansas,686,10,129,21,28,,45,,12,,157,32,95
Arkansas,648,,139,24,29,11,40,,,,152,34,88
Arkansas,682,,136,25,24,11,44,,17,,168,31,105
Arkansas,675,14,126,19,41,13,38,14,15,,175,32,81
Arkansas,696,,126,32,27,15,42,,23,,183,24,94
Arkansas,726,,138,30,36,10,44,,,,181,37,116
Arkansas,730,,103,29,25,,55,14,16,,170,35,140
Arkansas,726,18,108,35,35,14,41,,16,,153,28,147
Arkansas,730,,120,27,48,,40,10,11,,146,26,148
Arkansas,736,,118,28,27,14,36,,,,177,34,147
Arkansas,793,12,144,32,49,10,55,,17,,158,34,150
Arkansas,842,10,126,32,40,15,45,16,,,181,50,195
Arkansas,817,,119,31,39,17,45,16,13,,161,30,198
Arkansas,789,,127,24,36,10,36,10,10,,164,30,232
Arkansas,899,12,121,27,31,,43,12,12,,211,33,266
Arkansas,859,10,122,26,42,12,56,,14,10,181,35,222
Arkansas,887,,113,30,42,14,41,,10,,183,45,260
Arkansas,870,16,130,28,34,10,56,,14,,171,40,255
Arkansas,911,14,120,28,45,16,50,12,15,,183,39,281
Arkansas,912,22,127,37,38,18,56,,14,,174,30,263
Arkansas,916,,110,36,41,10,51,,15,,178,34,305
Arkansas,928,,143,31,47,14,50,11,19,,162,40,291
Arkansas,823,,141,34,27,,51,,12,,161,39,222
Arkansas,816,12,112,37,36,15,55,10,16,,176,39,172
Arkansas,741,11,106,28,32,12,52,,15,,171,41,132
Arkansas,712,15,122,31,36,15,47,,11,,164,39,100
Arkansas,729,16,126,27,36,10,42,11,,,194,39,88
Arkansas,676,,131,36,24,,46,,12,,146,34,74
Arkansas,660,18,124,30,28,,42,,14,,179,44,53
Arkansas,589,20,123,23,21,,41,,11,,148,27,41
Arkansas,644,,118,30,32,,37,,11,,164,45,35
Arkansas,547,11,115,27,25,,36,,12,,135,38,21
Arkansas,626,14,121,33,18,,29,11,26,,178,34,27
Arkansas,550,11,115,23,30,,32,13,14,,122,42,17
Arkansas,586,17,125,23,28,,42,,16,,161,37,15
Arkansas,587,,136,22,20,,42,10,,,150,33,20
Arkansas,637,,117,33,27,12,50,,13,,167,36,22
Arkansas,631,,144,26,29,,41,11,14,,151,37,29
Arkansas,619,14,121,36,32,,37,10,13,,153,29,20
Arkansas,573,11,101,20,34,12,43,,21,,147,30,15
Arkansas,611,,130,25,35,,50,,11,,147,40,21
Arkansas,591,,101,21,23,12,37,,23,,150,33,21
Arkansas,628,12,145,21,21,,40,11,15,,174,22,32
Arkansas,595,12,125,24,17,,44,,19,,154,36,34
Arkansas,616,11,117,21,22,,53,,20,,139,35,44
Arkansas,632,10,119,31,19,,35,,17,,162,32,61
Arkansas,664,18,123,26,33,16,54,,11,,150,24,76
Arkansas,678,13,125,21,24,13,40,,15,,142,34,117
Arkansas,796,16,146,28,31,13,58,,13,,184,33,142
Arkansas,839,,141,35,37,,52,,27,,165,34,190
Arkansas,832,,128,34,34,12,42,,,,163,32,233
Arkansas,812,13,111,22,37,,46,11,10,,171,22,232
Arkansas,849,,142,39,30,11,45,,,10,185,33,218
Arkansas,804,10,144,23,25,11,38,,14,,147,36,221
Arkansas,776,11,122,34,33,,37,,22,,160,23,191
Arkansas,811,10,137,35,31,13,34,14,18,,173,30,174
Arkansas,736,,124,32,30,11,38,,,,156,28,163
Arkansas,766,14,132,28,34,10,48,,10,,163,28,148
Arkansas,761,16,135,25,23,14,46,,19,,187,34,122
Arkansas,684,13,124,28,30,10,55,10,23,,139,35,91
Arkansas,683,16,124,28,32,,45,,17,,154,27,78
Arkansas,691,11,125,22,35,13,47,13,16,,164,38,74
Arkansas,656,16,119,25,31,10,52,,12,,150,30,56
Arkansas,697,,118,24,31,12,54,11,12,,172,36,49
Arkansas,683,10,118,24,30,13,45,,16,,171,40,47
Arkansas,698,11,112,27,21,14,52,10,15,,194,33,57
Arkansas,743,,149,26,27,10,68,10,18,,161,40,87
Arkansas,723,,114,37,26,15,62,11,19,,191,42,67
Arkansas,763,10,132,23,33,15,46,,20,,176,47,100
Arkansas,688,13,117,29,37,12,42,,13,10,165,29,73
Arkansas,736,10,118,31,32,16,70,,23,,177,36,85
Arkansas,824,13,128,25,33,10,57,12,25,,212,34,121
Arkansas,821,14,127,35,44,16,46,10,15,,180,50,152
Arkansas,841,,113,41,26,21,53,,15,,205,34,215
Arkansas,908,19,122,50,32,10,52,10,16,,203,39,238
Arkansas,916,21,135,33,42,12,64,10,16,,178,34,258
Arkansas,922,14,133,33,36,11,57,10,22,,198,36,249
Arkansas,806,,123,32,34,14,42,,22,,162,38,196
Arkansas,748,12,133,27,31,20,50,,15,,170,29,132
Arkansas,738,17,133,36,40,20,45,11,13,,171,25,89
Arkansas,667,,122,25,33,10,47,11,11,,154,45,60
Arkansas,611,11,115,46,40,10,48,14,14,,154,25,31
Arkansas,659,15,134,26,32,,40,,15,,152,38,41
Arkansas,590,,108,28,35,12,36,,15,,152,30,20
Arkansas,639,12,144,29,34,11,49,,18,,160,28,21
Arkansas,593,12,113,16,40,10,51,12,19,,136,40,16
Arkansas,593,11,130,30,28,,36,,17,,154,36,11
Arkansas,567,15,115,21,23,12,36,11,14,,160,30,
Arkansas,598,,127,21,37,,48,,11,,158,28,15
Arkansas,619,13,126,28,24,11,46,10,19,,167,32,11
Arkansas,579,12,113,37,18,,45,,15,,153,33,11
Arkansas,602,11,118,20,30,11,33,11,19,,165,28,
Arkansas,595,13,131,20,29,15,51,,16,,122,40,10
Arkansas,630,14,131,26,25,13,45,14,15,,166,41,12
Arkansas,595,,109,24,30,,38,,19,,165,31,17
Arkansas,617,,130,31,32,12,48,,23,,166,27,18
Arkansas,590,13,141,27,28,,37,12,18,,136,37,17
Arkansas,622,12,124,35,30,12,46,10,10,,163,32,29
Arkansas,613,11,125,24,26,,44,12,,,165,36,38
Arkansas,612,11,108,30,25,,43,14,14,,160,36,31
Arkansas,565,,99,22,29,,37,20,16,,134,27,41
Arkansas,569,11,117,21,25,11,44,10,12,,135,30,42
Arkansas,631,13,144,25,27,10,37,,17,,140,26,35
Arkansas,599,10,129,25,28,,37,,18,,148,22,35
Arkansas,572,,123,15,27,,43,11,12,,130,34,51
Arkansas,628,10,133,19,24,10,30,,19,,162,39,34
Arkansas,621,15,137,25,30,,42,,16,,156,36,39
Arkansas,664,,123,23,23,14,44,13,19,,179,36,29
Arkansas,552,14,109,15,21,,46,,17,,150,25,34
Arkansas,666,14,143,33,26,,45,,17,,169,33,36
Arkansas,641,18,122,25,27,13,37,,18,,157,32,38
Arkansas,658,14,126,32,32,,55,10,15,,175,29,25
Arkansas,622,,131,25,26,11,64,19,13,,141,24,12
Arkansas,638,10,129,22,24,11,46,,11,,179,34,19
Arkansas,614,15,137,25,32,16,32,15,17,,142,32,14
Arkansas,598,12,126,16,24,15,50,11,,,155,35,13
Arkansas,694,15,145,27,43,16,43,,16,,179,33,30
Arkansas,704,12,141,32,36,20,56,13,14,,208,21,19
Arkansas,707,13,132,25,31,29,60,11,14,,174,44,19
Arkansas,702,20,130,26,31,28,55,14,17,,188,31,28
Arkansas,679,16,134,26,32,22,46,12,13,,178,33,29
Arkansas,720,,125,27,27,26,56,15,16,,210,35,34
Arkansas,749,16,121,27,37,30,58,10,11,,206,39,31
Arkansas,746,22,129,30,32,21,55,19,19,13,186,31,37
Arkansas,714,23,115,24,33,27,55,10,23,19,177,41,45
Arkansas,688,,131,35,36,16,40,20,12,10,159,45,35
Arkansas,671,12,130,23,35,,54,,18,17,165,37,36
Arkansas,687,12,121,21,30,15,55,16,18,24,159,38,28
Arkansas,651,11,125,14,34,,57,,16,20,168,31,24
Arkansas,651,13,119,26,31,,46,,15,21,181,27,23
Arkansas,675,11,155,17,21,13,47,10,,24,180,37,21
Arkansas,649,14,120,22,26,15,45,10,15,18,176,37,11
Arkansas,644,12,117,35,24,10,64,,17,24,137,37,15
Arkansas,603,11,126,24,30,15,51,10,16,18,149,31,12
Arkansas,571,,117,20,33,12,40,,12,21,134,38,
Arkansas,518,12,114,24,31,,40,10,10,16,117,28,
California,5436,34,1199,239,386,187,275,80,97,16,1394,378,0
California,5417,37,1168,241,380,168,284,86,103,31,1384,359,0
California,5387,40,1126,207,345,216,313,80,94,23,1397,401,
California,5377,38,1192,231,381,189,279,81,90,22,1361,376,0
California,5281,34,1235,203,336,173,285,81,93,22,1353,345,0
California,5460,43,1174,227,402,190,325,73,111,14,1388,342,
